qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst
7,30,6,8,6,29,27
8,30,2,2,2,26,28
6,26,2,2,2,26,26
8,29,8,4,4,28,31
7,29,10,4,10,28,29
8,34,4,5,6,28,34
8,26,2,2,2,24,24
8,34,4,6,6,29,33
8,30,2,4,2,25,30
8,32,12,5,12,30,29
8,29,8,4,8,26,29
8,29,8,4,8,28,30
8,29,8,4,8,26,29
6,26,2,2,2,26,26
8,27,2,2,2,27,31
8,29,10,8,10,29,29
6,26,2,2,2,26,26
7,31,12,6,8,28,30
7,30,6,8,6,29,27
8,30,4,4,8,27,30
8,34,4,6,4,29,29
7,32,11,4,4,28,30
8,33,10,6,10,29,30
8,30,8,4,8,28,30
7,31,12,6,8,28,30
8,29,2,2,2,26,29
8,29,8,4,8,26,29
7,30,8,4,8,28,30
8,27,2,2,2,27,31
7,29,10,4,10,28,29
8,29,8,4,8,26,29
8,28,10,4,10,27,28
8,28,2,4,2,25,28
7,32,12,4,4,28,30
8,26,2,2,2,24,24
8,29,10,8,10,29,30
8,29,8,4,8,27,29
8,30,2,2,2,26,28
8,29,7,6,6,27,27
7,29,10,4,10,28,29
6,26,2,2,2,26,26
8,30,8,4,8,28,30
8,26,2,2,2,24,24
6,26,2,2,2,26,26
7,29,10,4,10,28,29
8,29,7,6,6,27,27
7,34,5,8,6,30,28
8,29,7,6,6,27,27
8,27,2,2,2,26,26
8,30,10,4,10,25,30
8,26,2,2,2,26,26
8,29,8,4,8,26,29
8,30,8,4,8,28,30
8,28,4,4,4,27,30
7,32,11,4,4,28,30
8,30,2,4,2,25,30
8,30,8,4,8,28,30
7,34,8,6,8,27,30
7,28,10,4,10,26,28
8,30,4,4,4,27,30
8,30,2,2,2,26,28
8,27,2,2,2,27,31
8,28,10,4,10,27,28
8,32,6,6,8,27,29
8,29,8,4,8,26,29
7,28,10,4,10,26,28
8,28,2,4,2,25,28
7,34,5,8,6,30,28
8,29,8,4,8,27,29
8,29,2,2,2,27,30
6,26,2,2,2,26,26
8,29,8,4,8,26,29
8,28,9,4,9,25,28
7,34,5,8,6,30,28
8,26,2,2,2,26,26
8,32,12,5,12,30,29
8,32,10,6,6,28,28
8,27,6,4,4,28,30
7,29,10,4,10,28,29
8,28,4,4,4,27,30
8,29,8,4,8,26,29
8,29,2,2,2,26,29
8,29,8,6,8,27,29
7,29,10,4,10,28,29
8,26,2,2,2,24,24
8,29,10,8,7,29,30
8,30,10,4,10,25,30
8,31,8,6,8,31,32
8,32,10,6,6,28,28
8,27,2,2,2,27,31
6,26,2,2,2,26,26
8,27,6,4,4,28,30
8,27,2,2,2,26,26
8,33,10,6,10,29,31
6,28,3,2,2,26,26
8,27,2,2,2,27,31
7,31,12,6,8,28,30
8,29,2,2,2,27,30
8,27,2,2,2,27,31
8,30,8,4,8,27,30
8,28,9,4,9,25,28
8,30,8,4,8,27,30
8,30,2,4,2,25,30
8,29,8,4,8,26,29
8,29,8,4,8,27,29
8,30,2,6,6,28,28
8,32,6,6,8,27,29
8,29,8,4,8,26,29
7,28,10,4,10,26,28
8,29,2,2,2,27,30
6,26,2,2,2,26,26
8,30,4,4,8,27,30
8,32,12,5,8,29,32
8,30,10,4,10,25,30
8,32,12,5,6,30,29
8,29,8,6,8,27,29
8,29,10,8,10,29,29
7,28,10,4,10,26,28
6,26,2,2,2,26,26
7,29,10,4,10,28,29
8,29,10,8,10,29,29
8,27,2,2,2,27,31
8,29,8,4,8,27,29
8,30,10,4,10,25,30
7,30,8,4,8,28,30
7,29,10,4,10,28,29
8,32,12,5,12,30,29
8,29,8,4,8,27,29
8,29,8,6,8,27,29
8,32,10,6,6,28,28
7,29,10,4,10,28,29
7,28,10,4,10,27,28
8,29,10,8,10,29,29
8,29,10,8,10,29,29
8,27,2,2,2,27,31
7,32,11,4,4,28,30
7,28,10,4,10,26,28
7,32,11,4,8,28,30
8,29,10,8,10,29,29
8,28,10,4,10,27,28
6,28,3,2,2,26,26
8,30,2,4,2,25,30
8,29,8,4,8,26,29
8,30,2,2,2,26,28
8,30,2,4,2,25,30
7,30,6,8,6,29,27
8,29,8,4,8,26,29
7,30,6,8,6,29,27
7,31,12,6,8,28,30
8,28,2,4,2,25,28
8,26,2,2,2,26,26
8,27,2,2,2,26,26
7,34,8,6,8,27,30
8,32,12,5,12,30,33
8,30,4,4,8,27,30
8,29,7,6,6,27,27
7,34,5,8,6,30,28
8,27,2,2,2,27,31
8,29,8,4,8,27,29
8,30,2,6,6,28,28
8,27,6,4,4,28,31
6,26,2,2,2,26,26
8,29,8,4,8,27,29
8,29,8,4,8,26,29
7,34,8,6,8,27,30
8,28,9,4,9,25,28
7,28,10,4,10,27,28
8,30,8,4,8,27,30
8,32,12,5,6,30,29
7,29,10,4,10,28,29
8,27,2,2,2,27,31
7,31,12,6,8,28,30
8,28,9,4,9,25,28
8,29,2,2,2,27,30
8,29,8,4,8,26,29
7,29,10,4,10,28,29
7,31,12,6,8,28,30
8,29,8,4,8,26,29
6,28,3,2,2,26,26
8,32,10,6,6,28,28
7,32,12,4,9,28,30
8,29,7,6,6,27,27
8,31,6,8,6,29,27
8,27,2,2,2,26,26
7,31,12,6,8,28,30
8,29,8,4,8,26,29
8,30,2,4,2,25,30
8,29,8,4,8,27,29
7,30,8,4,8,28,30
7,30,6,8,6,29,27
8,30,2,6,6,28,28
8,33,10,6,6,29,33
7,32,11,4,4,28,30
8,34,4,6,6,29,29
8,29,7,6,6,27,27
7,28,10,4,10,27,28
8,26,2,2,2,26,26
8,28,10,4,10,27,28
8,29,8,4,8,27,29
6,26,2,2,2,26,26
8,30,8,4,8,28,30
8,27,6,4,4,28,30
8,29,8,4,8,26,29
8,29,10,8,10,29,29
8,29,8,4,8,26,29
6,30,2,2,2,26,26
8,26,2,2,2,26,26
7,29,10,4,10,28,29
8,29,2,2,2,26,29
8,30,8,4,8,27,30
8,30,8,4,8,27,30
8,26,2,2,2,26,26
8,29,10,8,10,29,29
8,34,4,6,6,29,29
8,29,8,4,8,26,29
7,30,8,4,8,28,30
8,31,6,8,6,29,27
8,30,8,4,8,27,30
8,29,8,4,8,26,29
6,28,3,2,2,26,26
6,28,3,2,2,26,26
7,30,8,4,8,28,30
8,30,10,4,10,25,30
8,26,2,2,2,26,26
7,29,10,4,10,28,29
8,29,10,8,10,29,29
8,26,2,2,2,24,24
8,30,2,4,2,25,30
8,29,2,2,2,27,30
8,29,8,4,8,26,29
8,29,10,8,7,29,29
8,29,8,4,8,26,29
8,27,2,2,2,27,31
8,29,8,6,8,27,29
8,27,2,2,2,27,31
7,34,8,6,8,27,30
8,29,10,8,7,29,29
7,30,8,4,8,28,30
8,31,8,6,4,31,31
8,30,2,6,6,28,28
8,29,2,2,2,26,29
8,29,8,4,8,26,29
8,29,7,6,6,27,27
8,29,2,2,2,27,30
8,30,4,4,8,27,30
7,28,10,4,10,26,28
8,32,10,6,6,28,28
7,32,12,4,4,28,30
7,31,12,6,8,28,30
7,29,10,4,10,28,29
7,34,5,8,6,30,28
7,29,10,4,10,28,29
6,26,2,2,2,26,26
6,28,3,2,2,26,26
8,27,2,2,2,26,26
8,30,2,4,2,25,30
8,27,2,2,2,27,31
8,28,10,4,10,27,28
7,34,5,8,6,30,28
8,29,8,6,8,27,29
8,30,8,4,8,27,30
8,34,4,6,6,29,33
8,32,6,6,8,27,29
8,29,8,4,4,28,30
7,31,12,6,8,28,30
8,30,2,4,2,25,30
7,31,12,6,8,28,30
7,29,10,4,10,28,29
8,29,8,4,8,26,29
8,30,4,4,8,27,30
7,30,6,8,6,29,27
8,28,2,4,2,25,28
7,32,12,4,4,28,30
8,29,8,6,8,27,29
8,30,8,4,8,27,30
8,27,2,2,2,27,31
8,28,4,4,8,27,30
8,28,4,4,4,27,30
6,26,2,2,2,26,26
7,30,8,4,8,28,30
8,33,10,6,10,29,30
6,26,2,2,2,26,26
8,29,8,4,8,26,29
8,27,2,2,2,27,31
8,32,12,5,12,30,29
8,30,2,2,2,26,28
7,30,8,4,8,28,30
7,30,6,8,6,29,27
8,28,10,4,10,27,28
8,30,8,4,8,27,30
8,30,8,4,8,28,30
8,29,8,4,4,28,31
8,29,8,6,8,27,29
7,29,10,4,10,28,29
8,32,6,6,8,27,29
6,26,2,2,2,26,26
8,29,8,4,8,27,29
8,27,6,4,4,28,31
8,27,2,2,2,27,31
8,29,10,8,10,29,29
8,34,4,6,4,29,29
8,29,8,6,8,27,29
8,29,8,4,8,26,29
6,26,2,2,2,26,26
8,28,4,4,4,27,30
6,26,2,2,2,26,26
8,30,2,6,6,28,28
8,32,12,5,6,30,33
8,30,8,4,8,28,30
8,26,2,2,2,26,26
7,30,8,4,8,28,30
8,30,8,4,8,28,30
7,32,11,4,4,28,30
6,30,2,2,2,26,26
7,28,10,4,10,27,28
8,29,2,2,2,26,29
8,29,7,6,6,27,27
8,29,2,2,2,26,29
8,28,2,4,2,25,28
8,32,12,5,6,30,29
6,28,3,2,2,26,26
7,30,8,4,8,28,30
7,32,11,4,8,28,30
7,28,10,4,10,27,28
7,29,10,4,10,28,29
8,32,10,6,6,28,28
8,29,10,8,7,29,29
8,31,8,6,4,31,31
7,29,10,4,10,28,29
6,28,3,2,2,26,26
7,34,5,8,6,30,28
8,32,12,5,12,29,33
8,26,2,2,2,24,24
7,29,10,4,10,28,29
7,30,6,8,6,29,27
8,29,8,4,8,26,29
8,33,10,6,10,29,30
6,28,3,2,2,26,26
7,30,6,8,6,29,27
6,30,2,2,2,26,26
8,27,2,2,2,27,31
8,29,8,4,8,26,29
8,29,8,4,8,26,29
8,29,10,8,10,29,30
8,29,8,4,4,28,31
8,27,2,2,2,26,26
7,31,12,6,8,28,30
7,32,12,4,4,28,30
8,29,8,4,8,26,29
8,30,2,2,2,26,28
6,28,3,2,2,26,26
8,29,2,2,2,26,29
7,32,11,4,4,28,30
6,26,2,2,2,26,26
7,34,8,6,8,27,30
8,29,8,4,8,26,29
8,28,9,4,9,25,28
8,29,8,4,8,27,29
8,29,10,8,7,29,30
8,30,10,4,10,25,30
8,28,2,4,2,25,28
7,30,6,8,6,29,27
7,30,8,4,8,28,30
7,29,10,4,10,28,29
8,28,2,4,2,25,28
8,33,10,6,10,29,30
7,30,8,4,8,28,30
8,29,8,4,4,28,31
7,28,10,4,10,26,28
8,30,8,4,8,28,30
8,29,8,4,8,26,29
6,28,3,2,2,26,26
8,34,4,5,6,28,33
8,29,2,2,2,27,30
6,26,2,2,2,26,26
8,29,8,4,8,27,29
8,29,2,2,2,27,30
8,27,6,4,4,28,30
8,29,7,6,6,27,27
8,34,4,5,6,28,34
7,28,10,4,10,26,28
8,30,8,4,8,27,30
8,27,2,2,2,26,26
8,28,2,4,2,25,28
7,31,12,6,8,28,30
8,29,8,4,8,27,29
8,29,7,6,6,27,27
8,32,6,6,8,27,29
8,28,2,4,2,25,28
7,32,11,4,4,28,30
7,28,10,4,10,26,28
8,31,8,6,8,31,31
6,30,2,2,2,26,26
7,32,12,4,4,28,30
8,28,4,4,8,27,30
8,30,2,4,2,25,30
8,31,6,8,6,29,27
8,29,10,8,7,29,30
8,30,2,4,2,25,30
8,27,6,4,9,28,30
6,28,3,2,2,26,26
8,31,8,6,4,31,31
8,29,10,8,10,29,30
8,26,2,2,2,26,26
8,30,4,4,8,27,30
8,28,2,4,2,25,28
8,27,2,2,2,26,26
7,30,8,4,8,28,30
8,29,10,8,7,29,29
6,30,2,2,2,26,26
7,29,10,4,10,28,29
8,30,4,4,4,27,30
8,26,2,2,2,26,26
8,32,10,6,6,28,28
8,26,2,2,2,24,24
7,34,8,6,8,27,30
8,30,2,6,6,28,28
8,28,10,4,10,27,28
8,30,4,4,8,27,30
8,34,4,5,4,28,34
8,30,2,2,2,26,28
8,34,4,6,6,29,29
8,29,8,4,8,26,29
8,33,10,6,10,29,30
6,26,2,2,2,26,26
8,27,2,2,2,27,31
6,30,2,2,2,26,26
8,34,4,6,4,29,33
8,28,10,4,10,27,28
8,32,6,6,8,27,29
8,29,8,4,8,26,29
8,29,8,4,8,26,29
8,30,4,4,8,27,30
7,29,10,4,10,28,29
8,31,6,8,6,29,27
8,29,8,4,8,27,29
7,31,12,6,8,28,30
8,27,2,2,2,26,26
8,30,10,4,10,25,30
8,30,8,4,8,27,30
8,34,4,6,6,29,33
8,28,2,4,2,25,28
8,31,8,6,4,31,32
8,30,2,6,6,28,28
7,28,10,4,10,27,28
8,33,10,6,6,29,30
8,29,8,4,8,26,29
7,30,8,4,8,28,30
8,29,8,4,8,26,29
8,27,6,4,9,28,30
6,26,2,2,2,26,26
6,26,2,2,2,26,26
8,32,12,5,12,29,33
7,34,8,6,8,27,30
8,30,2,4,2,25,30
8,27,6,4,9,28,31
8,28,2,4,2,25,28
8,34,4,6,4,29,33
8,26,2,2,2,24,24
8,30,2,4,2,25,30
8,30,8,4,8,28,30
8,28,2,4,2,25,28
7,31,12,6,8,28,30
6,30,2,2,2,26,26
8,28,9,4,9,25,28
8,29,2,2,2,26,29
7,32,12,4,9,28,30
8,29,8,4,8,26,29
8,28,2,4,2,25,28
8,29,8,4,8,27,29
6,28,3,2,2,26,26
7,29,10,4,10,28,29
8,28,10,4,10,27,28
8,30,8,4,8,27,30
6,30,2,2,2,26,26
7,30,8,4,8,28,30
8,33,10,6,6,29,30
8,27,2,2,2,27,31
8,32,12,5,12,30,29
8,30,10,4,10,25,30
8,27,6,4,9,28,31
8,32,12,5,8,29,32
7,29,10,4,10,28,29
8,29,7,6,6,27,27
8,27,2,2,2,27,31
7,34,8,6,8,27,30
8,28,2,4,2,25,28
7,28,10,4,10,26,28
8,28,9,4,9,25,28
8,30,10,4,10,25,30
7,31,12,6,8,28,30
8,30,8,4,8,28,30
8,30,2,6,6,28,28
7,29,10,4,10,28,29
8,29,8,4,8,27,29
7,32,12,4,4,28,30
8,29,8,4,8,26,29
8,29,8,4,8,28,30
8,29,8,4,8,27,29
8,30,8,4,8,28,30
8,30,8,4,8,28,30
7,34,8,6,8,27,30
8,27,2,2,2,26,26
7,28,10,4,10,27,28
8,26,2,2,2,26,26
7,34,8,6,8,27,30
8,30,4,4,4,27,30
8,29,8,4,8,26,29
8,29,8,4,4,28,30
6,26,2,2,2,26,26
7,30,8,4,8,28,30
8,32,12,5,12,30,29
8,29,8,4,8,26,29
7,30,6,8,6,29,27
6,26,2,2,2,26,26
8,34,4,5,6,28,33
7,28,10,4,10,26,28
8,32,12,5,6,30,29
8,29,2,2,2,26,29
7,32,12,4,4,28,30
8,26,2,2,2,26,26
8,29,2,2,2,27,30
8,27,2,2,2,27,31
8,30,2,6,6,28,28
8,29,8,4,8,26,29
8,29,8,4,8,26,29
8,29,10,8,10,29,30
8,29,8,4,4,28,31
8,28,4,4,4,27,30
8,28,4,4,4,27,30
8,29,8,4,8,26,29
8,29,2,2,2,27,30
8,29,8,4,8,27,29
8,29,8,6,8,27,29
8,33,10,6,6,29,30
8,26,2,2,2,26,26
8,30,4,4,4,27,30
8,34,4,5,6,28,33
8,29,10,8,10,29,29
8,29,8,4,8,26,29
8,28,10,4,10,27,28
8,32,6,6,8,27,29
7,28,10,4,10,26,28
8,31,8,6,8,31,32
7,30,8,4,8,28,30
8,29,8,4,4,28,30
7,28,10,4,10,27,28
6,30,2,2,2,26,26
8,32,12,5,12,29,33
8,30,10,4,10,25,30
8,29,10,8,10,29,29
6,26,2,2,2,26,26
7,30,8,4,8,28,30
8,29,8,4,8,26,29
8,32,10,6,6,28,28
8,31,6,8,6,29,27
8,28,4,4,4,27,30
8,28,10,4,10,27,28
8,29,2,2,2,27,30
8,30,2,6,6,28,28
8,28,9,4,9,25,28
8,27,2,2,2,26,26
8,29,8,4,4,28,30
8,31,8,6,8,31,31
7,30,8,4,8,28,30
8,27,2,2,2,26,26
8,31,6,8,6,29,27
8,29,8,4,8,26,29
8,34,4,6,6,29,33
8,30,4,4,8,27,30
8,30,4,4,8,27,30
8,27,2,2,2,26,26
8,30,4,4,4,27,30
8,30,8,4,8,28,30
7,28,10,4,10,26,28
7,29,10,4,10,28,29
8,29,8,4,8,27,29
7,32,11,4,4,28,30
7,29,10,4,10,28,29
8,30,10,4,10,25,30
8,29,7,6,6,27,27
8,31,6,8,6,29,27
8,32,6,6,8,27,29
7,30,8,4,8,28,30
8,30,2,2,2,26,28
8,30,4,4,4,27,30
7,34,8,6,8,27,30
8,26,2,2,2,26,26
8,33,10,6,10,29,30
8,27,2,2,2,27,31
8,27,2,2,2,27,31
6,28,3,2,2,26,26
7,34,8,6,8,27,30
7,29,10,4,10,28,29
8,29,10,8,7,29,29
8,29,8,4,4,28,30
8,30,10,4,10,25,30
8,26,2,2,2,26,26
8,29,10,8,7,29,30
8,31,8,6,4,31,31
8,30,8,4,8,28,30
8,29,8,4,8,26,29
8,29,8,4,8,26,29
7,31,12,6,8,28,30
8,27,2,2,2,26,26
8,29,8,4,4,28,31
8,27,2,2,2,26,26
8,29,8,4,8,27,29
7,29,10,4,10,28,29
8,29,2,2,2,27,30
8,29,2,2,2,27,30
8,31,6,8,6,29,27
6,26,2,2,2,26,26
8,29,8,4,8,26,29
8,28,2,4,2,25,28
8,29,2,2,2,27,30
7,30,6,8,6,29,27
8,32,10,6,6,28,28
8,28,2,4,2,25,28
7,30,8,4,8,28,30
7,31,12,6,8,28,30
8,32,12,5,12,29,32
8,31,6,8,6,29,27
8,29,2,2,2,26,29
8,27,2,2,2,26,26
7,29,10,4,10,28,29
8,29,8,4,8,26,29
8,34,4,6,4,29,29
6,26,2,2,2,26,26
7,32,12,4,4,28,30
8,28,9,4,9,25,28
8,29,8,4,8,26,29
6,28,3,2,2,26,26
6,28,3,2,2,26,26
8,31,8,6,4,31,32
8,31,6,8,6,29,27
7,28,10,4,10,27,28
8,29,8,4,4,28,31
8,26,2,2,2,24,24
8,29,10,8,10,29,29
8,32,10,6,6,28,28
8,28,2,4,2,25,28
8,28,9,4,9,25,28
7,32,12,4,4,28,30
7,32,12,4,4,28,30
6,26,2,2,2,26,26
8,30,8,4,8,28,30
7,30,6,8,6,29,27
7,28,10,4,10,27,28
8,28,9,4,9,25,28
8,27,2,2,2,26,26
8,29,8,4,8,26,29
8,31,8,6,4,31,32
8,31,6,8,6,29,27
8,30,8,4,8,27,30
8,34,4,6,6,29,34
8,33,10,6,10,29,30
7,30,8,4,8,28,30
8,31,8,6,8,31,31
8,34,4,5,4,28,33
8,28,4,4,8,27,30
7,34,8,6,8,27,30
8,32,6,6,8,27,29
8,29,10,8,10,29,29
7,30,8,4,8,28,30
8,30,2,2,2,26,28
8,30,10,4,10,25,30
6,30,2,2,2,26,26
8,27,2,2,2,27,31
7,29,10,4,10,28,29
7,29,10,4,10,28,29
7,34,8,6,8,27,30
8,29,8,4,8,27,29
8,27,2,2,2,26,26
8,29,10,8,10,29,30
8,27,2,2,2,26,26
8,34,4,6,6,29,33
8,29,8,4,8,26,29
8,32,10,6,6,28,28
7,28,10,4,10,26,28
6,30,2,2,2,26,26
7,34,8,6,8,27,30
8,29,2,2,2,26,29
8,29,10,8,10,29,29
8,27,2,2,2,27,31
8,29,10,8,7,29,29
7,28,10,4,10,26,28
8,28,10,4,10,27,28
8,27,2,2,2,26,26
8,29,8,4,8,27,29
8,32,12,5,12,30,33
7,28,10,4,10,27,28
8,30,8,4,8,28,30
7,30,8,4,8,28,30
8,29,8,6,8,27,29
8,27,6,4,9,28,31
8,32,6,6,8,27,29
8,29,8,4,8,27,29
8,31,8,6,4,31,31
8,32,12,5,12,30,29
8,28,9,4,9,25,28
8,28,2,4,2,25,28
8,29,2,2,2,26,29
7,32,12,4,4,28,30
7,30,8,4,8,28,30
8,28,9,4,9,25,28
6,28,3,2,2,26,26
7,32,11,4,4,28,31
8,29,7,6,6,27,27
8,28,2,4,2,25,28
8,34,4,5,6,28,29
8,28,4,4,8,27,30
8,28,10,4,10,27,28
6,28,3,2,2,26,26
8,32,12,5,12,30,32
8,29,8,4,8,26,29
7,32,12,4,4,28,31
8,26,2,2,2,24,24
7,34,5,8,6,30,28
8,27,2,2,2,26,26
8,32,10,6,6,28,28
8,29,8,4,8,26,29
8,28,10,4,10,27,28
8,28,9,4,9,25,28
8,33,10,6,10,29,30
7,34,8,6,8,27,30
8,29,8,4,8,27,29
8,29,10,8,7,29,30
8,27,2,2,2,26,26
8,29,8,4,8,27,29
6,28,3,2,2,26,26
8,29,2,2,2,27,30
8,29,8,4,8,27,29
8,26,2,2,2,24,24
7,30,8,4,8,28,30
8,27,2,2,2,27,31
8,29,8,4,8,27,29
8,29,8,6,8,27,29
8,26,2,2,2,24,24
8,27,2,2,2,26,26
8,26,2,2,2,26,26
8,31,8,6,8,31,31
8,27,2,2,2,27,31
8,29,8,4,8,26,29
8,30,2,6,6,28,28
8,29,2,2,2,26,29
8,29,10,8,7,29,30
8,30,8,4,8,28,30
7,28,10,4,10,26,28
8,29,8,4,8,26,29
7,34,8,6,8,27,30
8,27,2,2,2,26,26
7,32,12,4,4,28,30
8,29,2,2,2,27,30
8,29,7,6,6,27,27
8,32,12,5,12,29,33
8,30,2,4,2,25,30
6,30,2,2,2,26,26
7,32,12,4,9,28,30
7,30,6,8,6,29,27
8,33,10,6,10,29,30
8,30,4,4,8,27,30
8,26,2,2,2,24,24
8,29,2,2,2,26,29
8,32,12,5,6,30,29
8,34,4,5,6,28,29
8,34,4,5,6,28,29
7,30,6,8,6,29,27
8,29,8,4,8,27,29
8,30,4,4,4,27,30
8,27,2,2,2,26,26
8,31,8,6,4,31,31
8,28,9,4,9,25,28
8,27,2,2,2,27,31
8,30,2,6,6,28,28
6,26,2,2,2,26,26
8,29,8,6,8,27,29
8,31,8,6,4,31,31
8,30,2,6,6,28,28
6,26,2,2,2,26,26
8,32,12,5,6,30,32
8,30,2,6,6,28,28
8,26,2,2,2,24,24
8,29,7,6,6,27,27
8,30,2,4,2,25,30
8,26,2,2,2,26,26
8,30,4,4,8,27,30
8,29,2,2,2,27,30
7,31,12,6,8,28,30
8,30,4,4,4,27,30
8,34,4,6,6,29,33
8,33,10,6,10,29,30
8,29,2,2,2,27,30
6,26,2,2,2,26,26
8,31,6,8,6,29,27
7,34,5,8,6,30,28
8,30,2,6,6,28,28
7,29,10,4,10,28,29
7,31,12,6,8,28,30
8,29,8,6,8,27,29
8,30,2,6,6,28,28
7,34,5,8,6,30,28
7,29,10,4,10,28,29
6,28,3,2,2,26,26
8,28,9,4,9,25,28
8,30,10,4,10,25,30
8,28,9,4,9,25,28
8,27,2,2,2,27,31
7,30,8,4,8,28,30
8,33,10,6,10,29,33
7,30,8,4,8,28,30
7,34,8,6,8,27,30
8,26,2,2,2,26,26
8,31,8,6,8,31,31
8,32,10,6,6,28,28
7,31,12,6,8,28,30
8,33,10,6,10,29,30
8,29,8,4,8,27,29
8,31,8,6,8,31,31
8,31,8,6,8,31,31
6,28,3,2,2,26,26
8,29,2,2,2,26,29
6,26,2,2,2,26,26
8,32,12,5,6,30,33
8,27,2,2,2,27,31
6,30,2,2,2,26,26
8,27,6,4,4,28,31
8,30,4,4,4,27,30
8,30,4,4,8,27,30
8,26,2,2,2,24,24
8,32,10,6,6,28,28
8,31,6,8,6,29,27
7,30,8,4,8,28,30
7,29,10,4,10,28,29
8,27,2,2,2,27,31
8,29,10,8,10,29,29
8,30,10,4,10,25,30
7,34,5,8,6,30,28
8,28,10,4,10,27,28
8,29,8,6,8,27,29
8,29,8,4,4,28,31
6,28,3,2,2,26,26
8,28,9,4,9,25,28
8,29,2,2,2,27,30
7,34,5,8,6,30,28
8,28,9,4,9,25,28
8,28,2,4,2,25,28
8,28,4,4,8,27,30
6,26,2,2,2,26,26
7,34,8,6,8,27,30
8,32,12,5,12,30,29
8,34,4,6,6,29,29
8,31,8,6,8,31,31
7,30,8,4,8,28,30
8,27,2,2,2,27,31
8,31,6,8,6,29,27
7,28,10,4,10,27,28
8,26,2,2,2,26,26
7,29,10,4,10,28,29
7,30,6,8,6,29,27
8,26,2,2,2,26,26
8,27,2,2,2,26,26
7,29,10,4,10,28,29
8,28,2,4,2,25,28
6,30,2,2,2,26,26
6,26,2,2,2,26,26
8,29,10,8,10,29,30
8,27,2,2,2,27,31
8,29,7,6,6,27,27
8,28,2,4,2,25,28
7,32,12,4,4,28,30
8,30,8,4,8,28,30
8,29,8,4,8,26,29
8,29,8,4,8,27,29
8,29,8,6,8,27,29
8,28,9,4,9,25,28
8,27,2,2,2,26,26
7,30,8,4,8,28,30
8,29,8,4,8,26,29
8,32,12,5,8,29,33
8,28,4,4,8,27,30
8,29,8,6,8,27,29
8,28,10,4,10,27,28
8,32,12,5,12,30,32
7,34,8,6,8,27,30
8,26,2,2,2,26,26
8,29,8,6,8,27,29
8,27,2,2,2,27,31
8,29,10,8,7,29,30
8,29,8,4,8,26,29
8,29,8,4,8,27,29
8,28,9,4,9,25,28
8,29,8,4,8,26,29
8,28,2,4,2,25,28
7,32,12,4,9,28,30
8,32,10,6,6,28,28
7,29,10,4,10,28,29
8,32,12,5,12,30,29
8,32,10,6,6,28,28
8,28,4,4,4,27,30
8,34,4,5,6,28,34
7,29,10,4,10,28,29
8,29,2,2,2,26,29
8,32,10,6,6,28,28
8,27,6,4,4,28,30
8,29,7,6,6,27,27
8,28,9,4,9,25,28
8,29,8,4,8,27,29
7,29,10,4,10,28,29
8,29,8,4,8,26,29
8,29,8,4,8,27,29
8,29,8,4,8,27,29
8,29,2,2,2,26,29
8,29,7,6,6,27,27
8,34,4,5,6,28,29
8,28,2,4,2,25,28
8,32,12,5,12,29,28
7,30,8,4,8,28,30
8,32,6,6,8,27,29
